aX,aY,aZ,gX,gY,gZ
-0.008,1.307,0.966,287.109,7.202,-0.488
0.145,1.017,0.921,299.500,6.287,2.563
0.172,0.882,0.887,308.594,-13.977,-6.042
0.058,0.748,0.714,307.190,-26.917,-7.812
-0.003,0.740,0.648,305.054,-24.536,-11.047
-0.077,0.620,0.572,309.509,-8.911,-24.963
-0.075,0.506,0.523,317.993,9.705,-53.223
-0.014,0.337,0.501,314.270,9.277,-57.861
0.031,0.360,0.505,296.814,16.418,-77.515
0.082,0.503,0.510,294.556,29.114,-99.976
0.076,0.476,0.495,301.208,41.443,-132.446
0.009,0.232,0.511,308.655,19.958,-124.756
0.005,0.164,0.510,313.965,-32.104,-86.121
0.009,0.115,0.447,309.509,-40.894,-72.632
-0.006,0.109,0.377,291.626,-38.940,-61.218
-0.061,0.172,0.266,282.471,-37.537,-55.298
-0.076,0.095,0.241,280.457,-60.608,-25.879
-0.166,-0.237,0.046,290.161,-94.360,3.357
-0.260,-0.381,-0.151,321.289,-156.311,59.448
-0.379,-0.656,-0.713,328.125,-153.320,70.984
-0.388,-0.895,-1.006,293.823,-96.069,62.378
-0.444,-1.463,-1.419,256.531,-67.017,51.941
-0.466,-1.687,-1.599,214.966,-44.006,42.786
-0.413,-2.033,-1.930,138.733,-12.573,45.715
-0.321,-2.167,-2.046,99.976,-4.211,60.608
-0.033,-2.157,-1.903,-0.488,-11.963,105.164
0.098,-2.009,-1.664,-57.190,-14.526,113.892
0.191,-1.835,-1.420,-156.677,29.175,73.608
0.292,-1.507,-1.004,-196.838,61.218,44.189
0.312,-1.356,-0.808,-253.174,83.984,10.864
0.307,-1.094,-0.434,-267.944,74.524,5.493
0.282,-0.977,-0.286,-282.166,49.072,1.526
0.183,-0.786,-0.101,-277.222,37.903,-5.920
0.130,-0.729,-0.031,-288.208,1.465,-13.123
0.052,-0.600,0.169,-286.560,-17.883,-11.719
0.020,-0.554,0.260,-250.427,-28.137,-24.597
-0.049,-0.442,0.312,-241.272,-25.146,-34.607
-0.135,-0.379,0.277,-241.699,-32.104,-47.607
-0.285,-0.199,0.267,-246.521,-40.222,-40.039
-0.297,-0.046,0.353,-263.733,-39.063,-19.470
-0.277,0.171,0.600,-266.052,-27.039,-21.118
-0.242,0.223,0.674,-247.498,13.794,-20.203
-0.085,0.288,0.746,-236.755,30.090,-10.742
-0.031,0.403,0.795,-240.234,26.794,-7.324
